url,name,brand,sku,price,original_price,360_dərəcə_fırlanma,akkumulyatorun_tutumu,brend,daxili_yaddaş,displey,ekranın_diaqonalı,girişlər,kateqoriya,klaviaturanın_dili,model,operativ_yaddaş,prosessor,rəng,sensorlu_ekran,veb_kamera,videokart,videokartın_növü,wi_fi,zəmanət,ölçülər_e_d_h,əməliyyat_sistemi
https://kontakt.az/notbuk-hp-15-fd1149ci-cw0n8ea,Notbuk HP 15-FD1149CI (CW0N8EA),HP,TM-DG-KOT-1114-NB-3470,1189.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-asus-zenbook-14-um3406ka-qd130-90nb14u1-m007l0,Notbuk Asus ZenBook 14 UM3406KA-QD130 (90NB14U1-M007L0),Asus,TM-DG-KOT-1114-NB-3418,"1.189,99",1649.99,Yox,"41 Vt*s, 6 saatadək",HP,SSD 512GB,"FullHD (1920 × 1080), 60 Hz","15.6""","2x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 2 Type-C, HDMI",İş və təhsil,"İngilis, Rus",15-FD1149CI,"DDR5 24GB, 5600 MHz","Intel Core Ultra 5 125H, 1.8 - 4.50 GHz",Warm gold,Yox,720p,Intel Arc Graphics,Daxili Intel,Wi-Fi 6 (802.11ax),12 ay,359.8 × 236 × 18.6 mm,FreeDos
https://kontakt.az/notbuk-lenovo-thinkpad-t14-gen-6-21qc00byfw,Notbuk Lenovo ThinkPad T14 Gen 6 (21QC00BYFW),Lenovo,TM-DG-KOT-1114-NB-3395,3699.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-hp-probook-4-g1i-14-ad2m3et,Notbuk HP ProBook 4 G1I 14 (AD2M3ET),HP,TM-DG-KOT-1114-NB-3349,1999.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-asus-expertbook-b3-b3605cca-mb0080-90nx08n1-m00340,Notbuk Asus ExpertBook B3 B3605CCA-MB0080 (90NX08N1-M00340),Asus,TM-DG-KOT-1114-NB-3406,"2.179,99",3199.99,Yox,"50 Vt*s, 5 saatadək",Asus,SSD 1 TB,"WQXGA (2560 × 1600), 144 Hz","16""","2× USB 3.2 Gen 1 Type-A, 2× Thunderbolt 4, HDMI, Ethernet (RJ-45)",Premium,"İngilis, Rus",ExpertBook B5 B5605CCA-PL0070,"DDR5 16GB, 4800 MHz","Intel Core Ultra 7 255H, 2.0 - 5.1 GHz",Gentle Grey,Yox,1080p,Intel Arc Graphics,Daxili Intel,Wi-Fi 6 (802.11ax),12 ay,358.4 × 253.9 × 19 mm,FreeDos
https://kontakt.az/notbuk-asus-expertbook-b5-b5605cca-pl0070-90nx08f1-m002h0,Notbuk Asus ExpertBook B5 B5605CCA-PL0070 (90NX08F1-M002H0),Asus,TM-DG-KOT-1114-NB-3408,2179.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-hp-omnibook-5-16-bc1002ci-c0ef5ea,Notbuk HP OmniBook 5 16-BC1002CI (C0EF5EA),HP,TM-DG-KOT-1114-NB-3348,"2.179,99",3199.99,Yox,"50 Vt*s, 5 saatadək",Asus,SSD 1 TB,"WQXGA (2560 × 1600), 144 Hz","16""","2× USB 3.2 Gen 1 Type-A, 2× Thunderbolt 4, HDMI, Ethernet (RJ-45)",Premium,"İngilis, Rus",ExpertBook B5 B5605CCA-PL0070,"DDR5 16GB, 4800 MHz","Intel Core Ultra 7 255H, 2.0 - 5.1 GHz",Gentle Grey,Yox,1080p,Intel Arc Graphics,Daxili Intel,Wi-Fi 6 (802.11ax),12 ay,358.4 × 253.9 × 19 mm,FreeDos
https://kontakt.az/notbuk-asus-expertbook-b5-b5405cca-ly0135-90nx08i1-m004k0,Notbuk Asus ExpertBook B5 B5405CCA-LY0135 (90NX08I1-M004K0),Asus,TM-DG-KOT-1114-NB-3407,2079.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-dell-pro-plus-16-210-bpcm-2201-az,Notbuk Dell Pro Plus 16 (210-BPCM_2201_AZ),Dell,TM-DG-KOT-1114-NB-3466,"1.979,99",2999.99,Yox,"70 Vt*s, 7 saatadək",Asus,SSD 512GB,"FullHD (1920 × 1200), 60 Hz","16""","2× USB 3.2 Gen 1 Type-A, 2× USB 3.2 Gen 1 Type-C, HDMI",Qrafika və video,"İngilis, Rus",VivoBook S16 OLED S3607CA-SH079,"DDR5 16GB, 3200 MHz","Intel Core Ultra 7 255H, 2.0 - 5.1 GHz",Matte Gray,Yox,1080p,Intel Arc Graphics,Daxili Intel,Wi-Fi 6 (802.11ax),12 ay,357 × 250.6 × 15.9 mm,FreeDos
https://kontakt.az/notbuk-asus-vivobook-s16-oled-s3607ca-sh079-90nb16i2-m00640,Notbuk Asus VivoBook S16 OLED S3607CA-SH079 (90NB16I2-M00640),Asus,TM-DG-KOT-1114-NB-3402,1979.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-asus-zenbook-s-16-um5606ga-ss022w-90nb17h2-m006f0,Notbuk Asus ZenBook S 16 UM5606GA-SS022W (90NB17H2-M006F0),Asus,TM-DG-KOT-1114-NB-3428,3249.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-yoga-7-2in1-14ill10-83jq005drk,Notbuk Lenovo Yoga 7 2in1 14ILL10 (83JQ005DRK),Lenovo,TM-DG-KOT-1114-NB-2985,2169.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-asus-expertbook-p3-pm3606cka-pl0325-90nx0981-m00bc0,Notbuk Asus ExpertBook P3 PM3606CKA-PL0325 (90NX0981-M00BC0),Asus,TM-DG-KOT-1114-NB-3413,2679.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-asus-expertbook-b9-b9403cvar-pp2269-90nx05w1-m035f0,Notbuk Asus ExpertBook B9 B9403CVAR-PP2269 (90NX05W1-M035F0),Asus,TM-DG-KOT-1114-NB-3409,"5.799,99",6559.99,Yox,"72.4 Vt*s, 22 saatadək",Apple,SSD 1 TB,"Liquid Retina XDR (3024 × 1964), 120 Hz","14""","3x Thunderbolt 5, HDMI",Premium,"İngilis, Rus",MacBook Pro 14,"LPDDR5X 24GB, 8533 MHz","Apple M4 Pro, 4.52 GHz",Silver,Yox,1080p,Apple M4 Pro,Apple,Wi-Fi 6E (802.11ax),12 ay,312.6 x 221.2 x 15.5 mm,MacOS
https://kontakt.az/notbuk-honor-magicbook-x16-brg-561,Notbuk HONOR MagicBook X16 (BRG-561),HONOR,TM-DG-KOT-1114-NB-3452,"5.799,99",6559.99,Yox,"72.4 Vt*s, 22 saatadək",Apple,SSD 1 TB,"Liquid Retina XDR (3024 × 1964), 120 Hz","14""","3x Thunderbolt 5, HDMI",Premium,"İngilis, Rus",MacBook Pro 14,"LPDDR5X 24GB, 8533 MHz","Apple M4 Pro, 4.52 GHz",Silver,Yox,1080p,Apple M4 Pro,Apple,Wi-Fi 6E (802.11ax),12 ay,312.6 x 221.2 x 15.5 mm,MacOS
https://kontakt.az/notbuk-apple-macbook-pro-14-mx2f3ru-a-silver,Notbuk Apple MacBook Pro 14 M4 Pro Silver MX2F3RU/A,Apple,TM-DG-KOT-1114-NB-2748,"5.799,99",6559.99,Yox,"72.4 Vt*s, 22 saatadək",Apple,SSD 1 TB,"Liquid Retina XDR (3024 × 1964), 120 Hz","14""","3x Thunderbolt 5, HDMI",Premium,"İngilis, Rus",MacBook Pro 14,"LPDDR5X 24GB, 8533 MHz","Apple M4 Pro, 4.52 GHz",Silver,Yox,1080p,Apple M4 Pro,Apple,Wi-Fi 6E (802.11ax),12 ay,312.6 x 221.2 x 15.5 mm,MacOS
https://kontakt.az/notbuk-hp-ai-15-fd2002ci-bg7h4ea,Notbuk HP AI 15-FD2002CI (BG7H4EA),HP,TM-DG-KOT-1114-NB-3461,1449.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-apple-macbook-pro-14-mcx04ru-a-space-black,Notbuk Apple MacBook Pro 14 M4 Space Black MCX04RU/A,Apple,TM-DG-KOT-1114-NB-2743,4799.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-honor-magicbook-x16-brg-565,Notbuk HONOR MagicBook X16 (BRG-565),HONOR,TM-DG-KOT-1114-NB-3453,1449.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-hp-15-fd1203ci-d15zwea,Notbuk HP 15-FD1203CI (D15ZWEA),HP,TM-DG-KOT-1114-NB-3469,"4.399,99",4949.99,Yox,"72.4 Vt*s, 24 saatadək",Apple,SSD 1 TB,"Liquid Retina XDR (3024 × 1964), 120 Hz","14""","3× Thunderbolt 4, HDMI",Premium,"İngilis, Rus",MacBook Pro 14,"LPDDR5X 16GB, 7500 MHz","Apple M4, 4.41 GHz",Space Black,Yox,1080p,Apple M4,Apple,Wi-Fi 6E (802.11ax),12 ay,312.6 x 221.2 x 15.5 mm,MacOS
https://kontakt.az/notbuk-hp-omnibook-x-flip-14-fm0019ci-bz2x2ea,Notbuk HP OmniBook X Flip 14-FM0019CI (BZ2X2EA),HP,TM-DG-KOT-1114-NB-3277,2099.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-apple-macbook-pro-14-mw2v3ru-a-space-black,Notbuk Apple MacBook Pro 14 M4 Space Black MW2V3RU/A,Apple,TM-DG-KOT-1114-NB-2745,4399.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-hp-ai-15-fd2014ci-bg7h5ea,Notbuk HP AI 15-FD2014CI (BG7H5EA),HP,TM-DG-KOT-1114-NB-3460,1699.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-thinkpad-t14-gen-6-21qc006cfw,Notbuk Lenovo ThinkPad T14 Gen 6 (21QC006CFW),Lenovo,TM-DG-KOT-1114-NB-3458,2399.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-honor-magicbook-x14-plus-frb-x,Notbuk HONOR MagicBook X14 Plus (FRB-X) ,HONOR,TM-DG-KOT-1114-NB-3446,"2.399,99",3549.99,Yox,"57 Vt*s, 11 saatadək",Lenovo,SSD 512GB,"WUXGA (1920 × 1200), 60 Hz","14""","2× USB 3.2 Gen 1 Type-A, 2× USB 3.2 Gen 2 Type-C, HDMI, Ethernet (RJ-45)",İş və təhsil,"İngilis, Rus",ThinkPad T14 Gen 6,"DDR5 16GB, 5600 MHz","Intel Core Ultra 5 225U, 2.4 - 4.8 GHz",Black,Yox,1080p,Intel Graphics,Daxili Intel,Wi-Fi 6E (802.11ax),12 ay,315.9 × 223.7 × 21.95 mm,ƏS yoxdur
https://kontakt.az/notbuk-lenovo-v15-g4-amn-82yu0173rk,Notbuk Lenovo V15 G4 AMN (82YU0173RK),Lenovo,TM-DG-KOT-1114-NB-3484,989.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-honor-magicbook-x16-plus-16-gb-1-tb-brb-x,Notbuk HONOR MagicBook X16 Plus 16 GB / 1 TB (BRB-X),HONOR,TM-DG-KOT-1114-NB-3447,1899.99,,,,,,,,,,,,,,,,,,,,,,
