Location,Total (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Year
Location,Total (TWh)[1],Coal,Gas,Hydro,Nuclear,Wind,Solar,Oil*,Bio.,Geo.,Year
Hong Kong,38.0,13.0,24.0,0.0,0,0.0,0.2,0.2,0.2,0.0,2023
Bahrain,36.0,0.0,36.0,0.0,0,0.0,0.09,0.0,0.0,0.0,2023
Hungary,36.0,2.0,7.0,0.2,16,0.6,7.0,0.5,2.0,0.02,2023
Libya,35.0,0.0,27.0,0.0,0,0.0,0.01,8.0,0.0,0.0,2023
Ecuador,34.0,0.0,1.0,26.0,0,0.06,0.04,7.0,0.4,0.0,2023
Turkmenistan,34.0,0.0,34.0,0.01,0,0.0,0.0,0.0,0.0,0.0,2023
Denmark,34.0,3.0,1.0,0.02,0,19.0,3.0,0.8,6.0,0.0,2023
Ireland,31.0,1.0,15.0,0.9,0,12.0,0.7,0.7,0.8,0.0,2023
Slovakia,30.0,1.0,2.0,5.0,18,0.0,0.6,1.0,1.0,0.0,2023
Azerbaijan,29.0,0.0,27.0,2.0,0,0.08,0.07,0.1,0.1,0.0,2023
North Korea,27.0,9.0,0.0,17.0,0,0.0,0.1,0.6,0.0,0.0,2023
Myanmar,26.0,2.0,14.0,9.0,0,0.0,0.1,0.1,0.3,0.0,2023
Dominican Republic,25.0,8.0,7.0,1.0,0,1.0,1.0,5.0,0.2,0.0,2023
Ghana,24.0,0.0,14.0,9.0,0,0.0,0.1,0.4,0.02,0.0,2023
Jordan,23.0,0.0,16.0,0.02,0,2.0,3.0,0.9,0.0,0.0,2023
Tajikistan,22.0,1.0,0.3,20.0,0,0.0,0.0,0.0,0.0,0.0,2023
Tunisia,21.0,0.0,20.0,0.01,0,0.3,0.5,0.2,0.0,0.0,2023
Iceland,20.0,0.0,0.0,14.0,0,0.01,0.0,0.0,0.0,6.0,2023
Syria,20.0,0.0,8.0,0.8,0,0.0,0.1,12.0,0.03,0.0,2023
Puerto Rico,20.0,3.0,5.0,0.05,0,0.2,0.8,10.0,0.01,0.0,2023
Mozambique,20.0,0.0,3.0,16.0,0,0.0,0.07,0.1,0.1,0.0,2023
Zambia,19.0,2.0,0.0,17.0,0,0.0,0.1,0.01,0.08,0.0,2023
Ethiopia,18.0,0.0,0.0,18.0,0,0.6,0.04,0.0,0.01,0.03,2023
Angola,18.0,0.0,2.0,13.0,0,0.0,0.4,3.0,0.05,0.0,2023
Croatia,17.0,1.0,4.0,8.0,0,3.0,0.4,0.05,1.0,0.02,2023
Bosnia and Herzegovina,17.0,10.0,0.01,6.0,0,0.3,0.2,0.2,0.03,0.0,2023
Sudan,17.0,0.0,0.0,12.0,0,0.0,0.1,5.0,0.1,0.0,2023
DR Congo,16.0,0.0,0.0,14.0,0,0.0,2.0,0.0,0.03,0.0,2023
Slovenia,16.0,3.0,0.5,5.0,6,0.01,1.0,0.01,0.3,0.0,2023
Cuba,15.0,0.0,2.0,0.1,0,0.06,0.2,13.0,0.3,0.0,2023
Georgia,14.0,0.0,3.0,11.0,0,0.09,0.0,0.0,0.0,0.0,2023
Cambodia,14.0,8.0,0.0,5.0,0,0.0,0.8,0.05,0.01,0.0,2023
Kyrgyzstan,14.0,2.0,0.1,12.0,0,0.0,0.0,0.04,0.0,0.0,2023
Guatemala,13.0,2.0,0.0,6.0,0,0.3,0.2,1.0,3.0,0.3,2023
Uruguay,13.0,0.0,0.0,4.0,0,5.0,0.5,1.0,3.0,0.0,2023
Panama,13.0,0.5,3.0,6.0,0,0.9,0.9,2.0,0.04,0.0,2023
Kenya,13.0,0.0,0.0,3.0,0,2.0,0.6,1.0,0.2,6.0,2023
Bolivia,12.0,0.0,8.0,3.0,0,0.4,0.3,0.2,0.4,0.0,2023
Costa Rica,12.0,0.0,0.0,9.0,0,1.0,0.08,0.01,0.06,2.0,2023
Honduras,12.0,0.0,0.0,4.0,0,0.7,1.0,4.0,1.0,0.3,2023
Bhutan,11.0,0.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,2023
Ivory Coast,11.0,0.0,8.0,3.0,0,0.0,0.02,0.02,0.09,0.0,2023
Tanzania,11.0,0.0,8.0,3.0,0,0.0,0.03,0.06,0.07,0.0,2023
Nepal,11.0,0.0,0.0,11.0,0,0.01,0.1,0.0,0.0,0.0,2023
Trinidad and Tobago,10.0,0.0,9.0,0.0,0,0.0,0.01,0.04,0.0,0.0,2023
Albania,9.0,0.0,0.0,9.0,0,0.0,0.3,0.0,0.0,0.0,2023
Armenia,9.0,0.0,4.0,2.0,3,0.0,0.8,0.0,0.0,0.0,2023
Cameroon,8.0,0.0,2.0,5.0,0,0.0,0.02,1.0,0.04,0.0,2023
Zimbabwe,8.0,3.0,0.0,5.0,0,0.0,0.03,0.0,0.1,0.0,2023
