0,1
Major petroleum companies,Supermajors BP Chevron Eni ExxonMobil Shell TotalEnergies National oil companies Abu Dhabi National Oil Company ANCAP Bharat Petroleum China National Offshore Oil Corporation China National Petroleum Corporation Ecopetrol Equinor Gazprom Hindustan Petroleum Indian Oil Corporation Iraq National Oil Company KazMunayGas Kuwait Petroleum Corporation Lotos Naftogaz National Iranian Oil Company National Iranian South Oil Company NNPC Limited Oil & Gas Development Company Oil and Natural Gas Corporation Orlen PDVSA Pemex Pertamina Petrobangla Petrobras PetroChina Petronas Petrovietnam PTT Public Company Limited QatarEnergy Rosneft Saudi Aramco Sinopec SOCAR Sonangol Sonatrach TPAO YPF Energy trading Enron Glencore Gunvor Mercuria Naftiran Intertrade Trafigura Vitol Others APA Corporation Cenovus Energy Cepsa ConocoPhillips Devon Energy Eneos Holdings Galp Energia Hess Corporation Husky Energy Imperial Oil Lukoil Marathon Oil Marathon Petroleum Occidental Petroleum OMV Phillips 66 Port Harcourt Refining Company Reliance Industries Repsol Suncor Energy Sunoco Surgutneftegas TechnipFMC TNK-BP Tullow Oil Tüpraş Valero Energy
Supermajors,BP Chevron Eni ExxonMobil Shell TotalEnergies
National oil companies,Abu Dhabi National Oil Company ANCAP Bharat Petroleum China National Offshore Oil Corporation China National Petroleum Corporation Ecopetrol Equinor Gazprom Hindustan Petroleum Indian Oil Corporation Iraq National Oil Company KazMunayGas Kuwait Petroleum Corporation Lotos Naftogaz National Iranian Oil Company National Iranian South Oil Company NNPC Limited Oil & Gas Development Company Oil and Natural Gas Corporation Orlen PDVSA Pemex Pertamina Petrobangla Petrobras PetroChina Petronas Petrovietnam PTT Public Company Limited QatarEnergy Rosneft Saudi Aramco Sinopec SOCAR Sonangol Sonatrach TPAO YPF
Energy trading,Enron Glencore Gunvor Mercuria Naftiran Intertrade Trafigura Vitol
Others,APA Corporation Cenovus Energy Cepsa ConocoPhillips Devon Energy Eneos Holdings Galp Energia Hess Corporation Husky Energy Imperial Oil Lukoil Marathon Oil Marathon Petroleum Occidental Petroleum OMV Phillips 66 Port Harcourt Refining Company Reliance Industries Repsol Suncor Energy Sunoco Surgutneftegas TechnipFMC TNK-BP Tullow Oil Tüpraş Valero Energy
Major services companies,Amec Foster Wheeler Baker Hughes Cameron International CGG CH2M Chicago Bridge & Iron Company China Oilfield Services Enbridge GE Power Halliburton Nabors Industries Naftiran Intertrade NOV Inc. Petrofac Saipem Schlumberger Snam Subsea 7 TC Energy Transocean Valaris Limited Weatherford International John Wood Group
Others,American Petroleum Institute Canadian petroleum companies Intercontinental Exchange Futures International Association of Oil & Gas Producers International Energy Agency Society of Petroleum Engineers World Petroleum Council
